,Unnamed: 0,billing_entity,model,one_month,set_no,test_actual,test_mape,test_predicted,third_month,train_mape,two_month,val_mape
0,0.0,AHPN,SARIMA,5.23,1.0,[4511639.85 3866722.   4640701.  ],4.25,"[4275668.086183032, 3893140.7847371325, 4323920.92828434]",6.83,7.25,0.68,5.79
1,1.0,AHPN,SARIMA,1.04,2.0,[3866722.   4640701.   4139915.59],3.51,"[3907007.711402641, 4313543.204615688, 4039205.203980648]",2.43,6.86,7.05,9.62
2,2.0,AHPN,SARIMA,7.27,3.0,[4640701.   4139915.59 3903136.32],3.8,"[4303396.696757721, 4051757.933270841, 3980720.131471029]",1.99,6.82,2.13,6.89
3,3.0,AHPN,SARIMA,0.13,4.0,[4139915.59 3903136.32 3905032.63],3.19,"[4134591.450518879, 4025233.315660082, 4151734.7015954205]",6.32,6.81,3.13,5.14
4,4.0,AHPN,SARIMA,3.05,5.0,[3903136.32 3905032.63 3907572.95],2.83,"[4022252.8401781386, 4061862.6763677425, 3852477.509518142]",1.41,6.68,4.02,3.01
5,5.0,AHPN,SARIMA,2.1,6.0,[3905032.63 3907572.95 4446243.31],5.55,"[3987034.7510755495, 3714015.398998006, 4019774.198258523]",9.59,6.57,4.95,3.96
6,6.0,AHPN,SARIMA,2.09,7.0,[3907572.95 4446243.31 4110963.7 ],4.5,"[3825983.0342228776, 4141299.43250546, 3923835.247949065]",4.55,6.85,6.86,3.16
7,7.0,AHPN,SARIMA,8.39,8.0,[4446243.31 4110963.7  4802555.71],6.31,"[4073046.5521168546, 4134813.038858868, 4324328.886363353]",9.96,6.14,0.58,4.82
8,8.0,AHPN,SARIMA,2.22,9.0,[4110963.7  4802555.71 4393488.78],4.34,"[4019841.4036714756, 4538995.976891023, 4160337.7324619694]",5.31,6.21,5.49,6.22
9,9.0,AHPN,SARIMA,7.51,10.0,[4802555.71 4393488.78 3925176.47],5.37,"[4441815.84654301, 4028901.3254072824, 3937528.700729822]",0.31,6.15,8.3,4.33
10,10.0,AHPN,SARIMA,6.85,11.0,[4393488.78 3925176.47 4482485.  ],4.73,"[4092463.7500566305, 4184399.123560348, 4449173.482588345]",0.74,6.35,6.6,5.54
11,11.0,AHPN,SARIMA,0.3,12.0,[3925176.47 4482485.   4557871.16],2.79,"[3936829.628059677, 4609579.343011001, 4318928.584071859]",5.24,5.67,2.84,5.7
12,12.0,AHPN,SARIMAX,3.88,1.0,[4511639.85 3866722.   4640701.  ],2.87,"[4686800.226587794, 3820424.5625317628, 4804131.827565108]",3.52,6.46,1.2,13.48
13,13.0,AHPN,SARIMAX,4.69,2.0,[3866722.   4640701.   4139915.59],2.73,"[4047963.202952741, 4673100.1253524, 4256038.796603928]",2.8,5.86,0.7,8.97
14,14.0,AHPN,SARIMAX,4.25,3.0,[4640701.   4139915.59 3903136.32],4.78,"[4837895.860648682, 4182968.793405528, 4256786.122919462]",9.06,6.16,1.04,4.27
15,15.0,AHPN,SARIMAX,3.29,4.0,[4139915.59 3903136.32 3905032.63],3.37,"[4276094.562079482, 4138029.0579396216, 3874060.029475488]",0.79,6.57,6.02,2.39
16,16.0,AHPN,SARIMAX,14.35,5.0,[3903136.32 3905032.63 3907572.95],8.0,"[4463379.208714525, 3549219.468537168, 3928669.0068454607]",0.54,7.11,9.11,6.63
17,17.0,AHPN,SARIMAX,5.49,6.0,[3905032.63 3907572.95 4446243.31],8.81,"[4119488.871537027, 3276772.967197192, 4232731.030771258]",4.8,6.77,16.14,4.32
18,18.0,AHPN,SARIMAX,5.83,7.0,[3907572.95 4446243.31 4110963.7 ],6.62,"[3679868.5941479094, 3839432.2689905576, 4095273.7229821933]",0.38,6.08,13.65,7.56
19,19.0,AHPN,SARIMAX,3.58,8.0,[4446243.31 4110963.7  4802555.71],4.66,"[4286892.24937736, 3843445.916454564, 4616512.998129055]",3.87,7.01,6.51,4.33
20,20.0,AHPN,SARIMAX,4.21,9.0,[4110963.7  4802555.71 4393488.78],2.3,"[3937800.100635729, 4826987.224653667, 4297870.907815929]",2.18,5.79,0.51,6.01
21,21.0,AHPN,SARIMAX,0.36,10.0,[4802555.71 4393488.78 3925176.47],4.86,"[4819877.485581698, 4304894.010594649, 4403829.997827583]",12.19,6.11,2.02,5.86
22,22.0,AHPN,SARIMAX,0.47,11.0,[4393488.78 3925176.47 4482485.  ],6.32,"[4372620.70536498, 4429441.006150049, 4734951.0058522085]",5.63,5.46,12.85,6.44
23,23.0,AHPN,SARIMAX,15.58,12.0,[3925176.47 4482485.   4557871.16],11.5,"[4536605.413036434, 4693436.656147303, 3909251.603758884]",14.23,5.74,4.71,1.92
24,24.0,AHPN,TBATS,9.3,1.0,[4511639.85 3866722.   4640701.  ],8.9,"[4092145.3500900925, 4107427.4923812947, 4122650.567515282]",11.16,8.23,6.23,8.5
25,25.0,AHPN,TBATS,4.39,2.0,[3866722.   4640701.   4139915.59],6.64,"[4036583.9991857614, 4036583.9991857614, 4036583.9991857614]",2.5,7.96,13.02,7.79
26,26.0,AHPN,TBATS,10.72,3.0,[4640701.   4139915.59 3903136.32],3.92,"[4143332.243881931, 4183204.883253003, 3903178.6101502595]",0.0,6.55,1.05,8.94
27,27.0,AHPN,TBATS,0.44,4.0,[4139915.59 3903136.32 3905032.63],4.94,"[4157948.2442232445, 4175853.4248284884, 4193835.7143225595]",7.4,7.85,6.99,9.29
28,28.0,AHPN,TBATS,8.13,5.0,[3903136.32 3905032.63 3907572.95],8.52,"[4220328.184026399, 4238100.995855631, 4255846.73364818]",8.91,8.6,8.53,6.28
29,29.0,AHPN,TBATS,8.59,6.0,[3905032.63 3907572.95 4446243.31],7.11,"[4240403.375497007, 4265555.95144532, 4286847.924619205]",3.58,8.88,9.16,6.56
30,30.0,AHPN,TBATS,7.61,7.0,[3907572.95 4446243.31 4110963.7 ],5.19,"[4205071.104055505, 4215222.748550202, 4224328.348600037]",2.76,8.99,5.2,4.53
31,31.0,AHPN,TBATS,5.31,8.0,[4446243.31 4110963.7  4802555.71],6.77,"[4210032.793054233, 4191084.394787092, 4175925.676056728]",13.05,8.9,1.95,6.1
