,billing_entity,model,set_no,train_mape,val_mape,test_mape,test_actual,test_predicted,one_month,third_month,two_month
0,AHPN,SARIMA,1,7.25,5.79,4.25,[4511639.85 3866722.   4640701.  ],"[4275668.086183032, 3893140.7847371325, 4323920.92828434]",5.23,6.83,0.68
1,AHPN,SARIMA,2,6.86,9.62,3.51,[3866722.   4640701.   4139915.59],"[3907007.711402641, 4313543.204615688, 4039205.203980648]",1.04,2.43,7.05
2,AHPN,SARIMA,3,6.82,6.89,3.8,[4640701.   4139915.59 3903136.32],"[4303396.696757721, 4051757.933270841, 3980720.131471029]",7.27,1.99,2.13
3,AHPN,SARIMA,4,6.81,5.14,3.19,[4139915.59 3903136.32 3905032.63],"[4134591.450518879, 4025233.315660082, 4151734.7015954205]",0.13,6.32,3.13
4,AHPN,SARIMA,5,6.68,3.01,2.83,[3903136.32 3905032.63 3907572.95],"[4022252.8401781386, 4061862.6763677425, 3852477.509518142]",3.05,1.41,4.02
5,AHPN,SARIMA,6,6.57,3.96,5.55,[3905032.63 3907572.95 4446243.31],"[3987034.7510755495, 3714015.398998006, 4019774.198258523]",2.1,9.59,4.95
6,AHPN,SARIMA,7,6.85,3.16,4.5,[3907572.95 4446243.31 4110963.7 ],"[3825983.0342228776, 4141299.43250546, 3923835.247949065]",2.09,4.55,6.86
7,AHPN,SARIMA,8,6.14,4.82,6.31,[4446243.31 4110963.7  4802555.71],"[4073046.5521168546, 4134813.038858868, 4324328.886363353]",8.39,9.96,0.58
8,AHPN,SARIMA,9,6.21,6.22,4.34,[4110963.7  4802555.71 4393488.78],"[4019841.4036714756, 4538995.976891023, 4160337.7324619694]",2.22,5.31,5.49
9,AHPN,SARIMA,10,6.15,4.33,5.37,[4802555.71 4393488.78 3925176.47],"[4441815.84654301, 4028901.3254072824, 3937528.700729822]",7.51,0.31,8.3
10,AHPN,SARIMA,11,6.35,5.54,4.73,[4393488.78 3925176.47 4482485.  ],"[4092463.7500566305, 4184399.123560348, 4449173.482588345]",6.85,0.74,6.6
11,AHPN,SARIMA,12,5.67,5.7,2.79,[3925176.47 4482485.   4557871.16],"[3936829.628059677, 4609579.343011001, 4318928.584071859]",0.3,5.24,2.84
